Title,Company,Location,Type,Posted,Link
"Regional Data Manager, Citymapper",Via,New York,Permanent contract,5 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/regional-data-manager-citymapper_new-york
Remix Scheduling Principal,Via,New York,Permanent contract,5 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/remix-scheduling-principal_new-york
Procurement Manager,Hermès,Manhattan,Permanent contract,9 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/procurement-manager_manhattan_HERMS_OLe0oVY
Fixed Operations Field Specialist,MSX International,Orlando,Permanent contract,6 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/fixed-operations-field-specialist_orlando
J202509011 Professional Services Consultant,Quadient,Jackson,Permanent contract,6 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/j202509011-professional-services-consultant_mobile
Utility Manager M/F,VINCI Construction,Norfolk,Permanent contract,7 days ago,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/utility-manager-m-f_norfolk
Summer 2026 Analyst - Chicago Coverage Intern,Crédit Agricole CIB,Chicago,Internship,7 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/summer-2026-analyst-chicago-coverage-intern_chicago
General Manager,Via,Richmond,Permanent contract,9 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/general-manager_oakland
Strategy and Operations Associate Principal,Via,New York,Permanent contract,9 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/strategy-and-operations-associate-principal_new-york
"Senior Regional Asset Protection Manager, Western Region",Hermès,Beverly Hills,Permanent contract,10 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-regional-asset-protection-manager-western-region_beverly-hills
EPM / CPM Consulting Manager,MeltOne Advisory,New York,Permanent contract,9 days ago,https://www.welcometothejungle.com/en/companies/meltone-advisory/jobs/epm-cpm-consulting-manager_paris
Finance Administrator,Kraken,New York,Permanent contract,10 days ago,https://www.welcometothejungle.com/en/companies/kraken/jobs/finance-administrator_new-york
Global Stock Plan Administrator,Kraken,New York,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/kraken/jobs/global-stock-plan-administrator_new-york
Data Analyst,MSX International,Warwick,Permanent contract,9 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/data-analyst_warwick
Accounting Manager,Safran Electronics & Defense,Grand Prairie,Permanent contract,11 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/accounting-manager_grand-prairie
Bid Manager,Free Pro,Altamont,Permanent contract,11 days ago,https://www.welcometothejungle.com/en/companies/freepro/jobs/bid-manager_lyon
US Analyst - Corporate and Leveraged Finance - Fund Solutions Group North America,Crédit Agricole CIB,New York,Fixed-term / Temporary,10 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-corporate-and-leveraged-finance-fund-solutions-group-north-america_new-york
VP Lead Auditor - Financial Controls and Regulatory Reporting,Crédit Agricole CIB,New York,Permanent contract,10 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-lead-auditor-financial-controls-and-regulatory-reporting_new-york
Compliance Risk Assessment Officer - VP,Crédit Agricole CIB,New York,Permanent contract,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/compliance-risk-assessment-officer-vp_new-york
Credit Coordination Associate,Crédit Agricole CIB,New York,Permanent contract,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/credit-coordination-analyst-associate_houston
Compliance Data Analytics and Reporting Associate,Crédit Agricole CIB,New York,Permanent contract,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/compliance-data-analytics-and-reporting-associate_new-york
Senior Data Scientist in Marketing Analytics - New York,Ekimetrics,New York,Permanent contract,11 days ago,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/senior-consultant-in-marketing-analytics-data-science-new-york_new-york
Strategy and Operations Associate,Via,New York,Permanent contract,10 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/strategy-and-operations-associate_new-york
Operations Associate Principal,Via,New York,Permanent contract,10 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/operations-associate-principal_new-york
Field Operations Manager,Via,Omaha,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/field-operations-manager_omaha
Senior Blockchain Engineer,Dfns,"New York,Paris",Permanent contract,14 days ago,https://www.welcometothejungle.com/en/companies/dfns/jobs/senior-blockchain-engineer_DFNS_PXQa2Y2
"Senior Regional Asset Protection Manager, Northern Region",Hermès,Manhattan,Permanent contract,15 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-regional-asset-protection-manager-northern-region_manhattan
Senior Accountant,L-Acoustics,Westlake Village,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/l-acoustics/jobs/senior-accountant_westlake
Implementation Manager M/F/Mx,Trustpair,New York,Permanent contract,13 days ago,https://www.welcometothejungle.com/en/companies/trustpair/jobs/implementation-manager-m-f-mx_new-york
Hybrid Dealer Operations Specialist,MSX International,Dallas,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/dealer-operations-specialist_dallas
FIELD OPERATION SUPPORT SPECIALIST,MSX International,Southfield,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-operation-support-specialist_southfield
Implementation Specialist,MSX International,Southfield,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/entry-level-openings-for-college-graduates-la-san-francisco-boston-nyc-chicago-and-philadephia_southfield
Implementation Specialist,MSX International,Nashville,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/implementation-specialist_atlanta_MI_kAQ0wKl
Implementation Specialist,MSX International,Detroit,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/fsr-coach_southfield
Hybrid Dealer Operations Specialist,MSX International,Cleveland,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/dealer-operations-specialist_cleveland
Warranty Auditor,MSX International,St Louis,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/warranty-auditor_washington_MI_8eoqw37
Hybrid District Manager Parts & Service,MSX International,Richmond,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/hybrid-district-manager-parts-service_richmond
Ford Connected Service Coach,MSX International,Southfield,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/trainer_southfield_MI_7ojQQXL
Fixed Operations Field Specialist,MSX International,Medford,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/fixed-operations-field-specialist_medford
Automotive Operation Regional Manager,MSX International,Philadelphia,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-operation-regional-manager_southfield
